header,data,visibility,metainfo,main_part,text
"Специалисты филиала ""Россети"" повысили надежность электроснабжения газовых компрессорных станций на севере Свердловской области",15 марта 2024,"13,20","ИАА УралБизнесКонсалтинг, Екатеринбург, 15 марта 2024","Специалисты филиала ""Россети"" повысили надежность электроснабжения газовых компрессорных станций на севере Свердловской области","УрБК, Екатеринбург, 15.03.2024. Энергетики филиала ПАО ""Россети"" - МЭС Урала модернизировали оборудование на магистральной ЛЭП в северной части Свердловской области. На линии были смонтированы новые устройства для защиты от ветровых нагрузок, сообщает группа связей с общественностью и СМИ энергетического предприятия.
Фото предоставлено группой связей с общественностью и СМИ филиала ПАО ""Россети"" - МЭС Урала 
Так, специалисты смонтировали новое оборудование на линии электропередачи 220 кВ ""БАЗ - Белка"". Проведенные работы позволили повысить надежность работы объекта, от которого зависит электроснабжение северных районов Свердловской области и транзит энергии на юг ХМАО - Югры, где располагаются компрессорные станции крупной нефтегазовой компании.
На 34 опорах ЛЭП энергетики установили гасители вибрации, которые уменьшают вероятность повреждений провода и грозотроса при воздействии ветра. Также специалисты произвели верховой осмотр промежуточных и анкерных опор, отрегулировали и заменили разрядные рога, изоляторы и арматуру, проверили состояние проводов в поддерживающих зажимах. Всего было установлено более 50 единиц нового оборудования.
Стоит добавить, что в этом году энергетики филиала также установят новые гасители вибрации и изоляторы еще на шести ЛЭП региона. 
Похожие сообщения (10):
Пресс-релизы Press-release.ru, Москва, 15 марта 2024, Филиал ПАО ""Россети"" выполнил техническое перевооружение магистральной ЛЭП на севере Свердловской области, которая участвует в электроснабжении газовых компрессорных станций
RusCable.Ru, Москва, 15 марта 2024, Филиал ПАО ""Россети"" выполнил техническое перевооружение магистральной ЛЭП на севере Свердловской области, которая участвует в электроснабжении газовых компрессорных станций
Пресс-релизы Re-port.ru, Москва, 15 марта 2024, Филиал ПАО ""Россети"" выполнил техническое перевооружение магистральной ЛЭП на севере Свердловской области, которая участвует в электроснабжении газовых компрессорных станций
News-Life (news-life.pro), Москва, 15 марта 2024, Филиал ПАО ""Россети"" выполнил техническое перевооружение магистральной ЛЭП на севере Свердловской области, которая участвует в электроснабжении газовых компрессорных станций
Коронавирус в Москве (covid.russia24.pro/moscow), Москва, 15 марта 2024, Филиал ПАО ""Россети"" выполнил техническое перевооружение магистральной ЛЭП на севере Свердловской области, которая участвует в электроснабжении газовых компрессорных станций
RU24.pro, Москва, 15 марта 2024, Филиал ПАО ""Россети"" выполнил техническое перевооружение магистральной ЛЭП на севере Свердловской области, которая участвует в электроснабжении газовых компрессорных станций
Seldon.News (news.myseldon.com), Москва, 15 марта 2024, Специалисты филиала ""Россети"" повысили надежность электроснабжения газовых компрессорных станций на севере Свердловской области
Gorodskoyportal.ru/ekaterinburg, Екатеринбург, 15 марта 2024, Специалисты филиала ""Россети"" повысили надежность электроснабжения газовых компрессорных станций на севере Свердловской области
News-Life (news-life.pro), Москва, 15 марта 2024, Специалисты филиала ""Россети"" повысили надежность электроснабжения газовых компрессорных станций на севере Свердловской области
Russia24.pro, Москва, 15 марта 2024, Специалисты филиала ""Россети"" повысили надежность электроснабжения газовых компрессорных станций на севере Свердловской области
"
"Банк ""Санкт-Петербург"" улучшает условия по собственным ипотечным программам",15 марта 2024,10,"АСН Инфо (asninfo.ru), Санкт-Петербург, 15 марта 2024","Банк ""Санкт-Петербург"" улучшает условия по собственным ипотечным программам","Банк ""Санкт-Петербург"" улучшает условия по собственным ипотечным программам. Улучшения касаются как кредитов на новостройки, так и на вторичное и загородное жилье. В частности, БСПБ увеличивает максимальный размер ипотечного кредита. 
Так, по программам ""Новостройка"" (квартиры и апартаменты в строящемся доме), ""Квартира"" (вторичное жилье), ""Загородная недвижимость"" (жилой дом с земельным участком) максимальный объем кредита составит 40 000 000 рублей. А по программе ""Кредит под залог имеющейся недвижимости"" - до 20 000 000 руб.
Кроме того, в рамках всех ипотечных программ предусмотрена скидка до 0,5% от базовой ставки для зарплатных клиентов Банка/ потенциальных зарплатных клиентов, для клиентов программы ""Премиум"" и vip-клиентов.
Сегодня Банк ""Санкт-Петербург"" в рамках развития ипотечного кредитования разрабатывает уникальные продукты и сервисы, например, предлагает провести сделку по ипотеке в формате ""одного окна"", которая включает сервис заказа оценки недвижимости и все процедуры оформления документов в Росреестре в онлайн. Это ускоряет регистрацию сделки купли-продажи в 2-3 раза, а электронная подпись клиента оформляется всего за несколько минут.
""Для Банка ""Санкт-Петербург"" доступность ипотеки - социально важная задача. Мы делаем все возможное для того, чтобы ценовые и неценовые параметры по ипотеке были доступнее нашим заемщикам"", - комментирует руководитель бизнеса ипотеки и расчетов по сделкам с недвижимостью Банка ""Санкт-Петербург"" Анна Иушина.
Подробнее о новых условиях на ипотеку в Банке ""Санкт-Петербург"" можно узнать на сайте: https://www.bspb.ru/retail/mortgage. 
Новости Банка ""Санкт-Петербург""
Похожие сообщения (1):
Банк Санкт-Петербург (bspb.ru), Санкт-Петербург, 15 марта 2024, Банк ""Санкт-Петербург"" улучшает условия по собственным ипотечным программам
"
"Акции ""Русала"" на Мосбирже снизились более чем на 3,5%",15 марта 2024,-18,"Агентство Бизнес Новости (abn.agency), Санкт-Петербург, 15 марта 2024","Акции ""Русала"" на Мосбирже снизились более чем на 3,5%","Автор: Никонова Ольга
На Московской бирже на 3,5 процента снижалась стоимость российского производителя алюминия ""Русал"" во время торгов. 
Согласно данным торгов, стоимость акции компании составляла в десять часов утра по московскому времени 33,71 рубля за бумагу. Данные мероприятия произошли после того, как компания опубликовала финансовый отчет за второе полугодие прошлого года.
К 10:20 по московскому времени акции компании на Мосбирже замедлили снижение и торговались на уровне более чем 34,5 рубля за одну ценную бумагу. Таким образом, снижение произошло на более чем 1,2 процента. 
Согласно международным стандартам финансовой отчетности по итогам прошлого года скорректированная чистая прибыль компании снизилась на 90 процентов и достигла 73 миллионов долларов. 
В отчете добавляется, что выручка ""Русала"" стала ниже на 12,6 процента и достигла более 12 миллиардов долларов. Скорректированная EBITDA стала ниже на более чем 61 процент и достигла 786 миллионов долларов. 
"
"""Тинькофф Инвестиции"" сохраняют осторожную оценку акций РусАла",15 марта 2024,1,"Тинькофф Банк. Новости партнеров (tinkoff.ru), Москва, 15 марта 2024","""Тинькофф Инвестиции"" сохраняют осторожную оценку акций РусАла","""Тинькофф Инвестиции"" сохраняют осторожную оценку перспектив цены акций ""РусАла"", -сообщается в комментарии аналитика Александра Алексеевского.""Алюминиевая компания опубликовала отчет МСФО с финансовыми итогами 2023 года. Результаты 2П23 оказались несколько лучше первого: рентабельность по EBITDA выросла до 8% (ранее было 5%) во многом на фоне ослабления рубля. Также во втором полугодии ""РусАл"" вышел на положительный свободный денежный поток, - отмечает эксперт. - Тем не менее в целом уровень рентабельности остается на довольно низких значениях из-за невысоких цен на алюминий. Также у компании сохраняется повышенная долговая нагрузка: коэффициент чистый долг/EBITDA по итогам 2023 года составил 7,4x (в первом полугодии было 12,3x)"".Настоящее сообщение содержит мнение специалистов инвестиционной компании или банка, полученное Интерфаксом. Такое мнение предоставляется исключительно для целей ознакомления и не является рекомендацией для покупки, продажи ценных бумаг, принятия (или непринятия) каких-либо коммерческих или иных решений. За содержание сообщения и последствия его использования Интерфакс ответственности не несет. 
"
Отключение электроэнергии,15 марта 2024,1,"Группа Комфорт (comfort-group.ru), Москва, 15 марта 2024",Отключение электроэнергии,"Сегодня, 15 марта, с 12:30 до окончания работ Россети проведут аварийные работы по восстановлению подачи электроснабжения.
На время проведения работ будет отключена электроэнергия в ЖК ""Настроение"".
Рекомендуем отключить электроприборы и технику из розеток.
О завершении работ и возобновлении подачи электроэнергии сообщим дополнительно. 
"
"БПЛА ""Герань"" расширение производства, запуск тракторного завода, новый комплекс ""Фосагро""",15 марта 2024,1,"Mashnews (mashnews.ru), Санкт-Петербург, 15 марта 2024","БПЛА ""Герань"" расширение производства, запуск тракторного завода, новый комплекс ""Фосагро""","Канал Mashnews рассказывает о новых и модернизированных производствах в России. Вы узнаете, что завод в Татарстане, производящий БПЛА ""Герань"", вышел на полную мощность, в Ростове-на-Дону открыли тракторный завод, ПАО ""Фосагро"" запустила крупный комплекс по производству минеральных удобрений в Ленинградской области, а в Челябинске открылся цех по изготовлению промышленных роботов. 
Под Тулой открылся завод двигателей Haval, в Петропавловске-Камчатском запустили новый завод металлоконструкций, в Солнечногорске на полную мощность вышло новое производство промышленных насосных станций, а ПАО ""Ростсельмаш"" запустило в Таганроге новый завод сельхозтехники. 
"
ММК в 2023 году поставил на рынок России более 1.7 млн т проката с покрытием,15 марта 2024,19,"ИА AK&M, Москва, 15 марта 2024",ММК в 2023 году поставил на рынок России более 1.7 млн т проката с покрытием,"Группа Магнитогорского металлургического комбината в 2023 году поставила на рынок России более 1.7 млн т проката с покрытием. Из них 1.2 млн т пришлось на горячеоцинкованный прокат и 0.5 млн т - на окрашенный. Внутренний рынок составил 91% от общего портфеля заказов компании. Об этом говорится в сообщении ММК. 
Как отметил начальник управления продаж по России ПАО ""ММК"" Иван Радюкевич, слова которого приводятся в сообщении, 2023 год стал для российских металлургов достаточно успешным. Несмотря на сокращение экспорта, объемы производства проката с покрытиями в стране выросли благодаря существенному подъему внутреннего потребления - на 19% к предыдущему году. 
ПАО ""Магнитогорский металлургический комбинат"" (ИНН 7414003633) - производитель стали. Активы компании в России представляют собой металлургический комплекс с полным производственным циклом, начиная с подготовки железорудного сырья и заканчивая глубокой переработкой черных металлов. По состоянию на 3 марта 2022 года, в свободном обращении находится 20.24% акций ММК. 
Чистая прибыль ММК за 2023 год составила 118.36 млрд руб., увеличившись на 68.2% по сравнению с 2022 годом. Выручка выросла на 9.1% до 763.39 млрд руб., показатель EBITDA - на 26.2% до 195.6 млрд руб. 
"
ЭкоПоколение - 2024,15 марта 2024,6,"Тихвин on-line (tikhvin.spb.ru), Тихвин, 15 марта 2024",ЭкоПоколение - 2024,"Ленинградская область
РУСАЛ приступил к подготовке нового сезона проекта для школьников ""ЭкоПоколение"" 
В этом году эколого-промышленную экспедицию, уже ставшую традиционной, РУСАЛ планирует провести совместно с двумя особо охраняемыми природными территориями России - национальным парком ""Красноярские Столбы"" (Красноярский край) и Кандалакшским государственным природным заповедником (Мурманская область).
В экотуры будут приглашены учащиеся 8-11 классов, увлеченные экологией, биологией, краеведением и проживающие в городах, где работают предприятия РУСАЛа - из Иркутской, Ленинградской, Свердловской, Кемеровской Мурманской областей, Красноярского края, Республик Хакасия и Коми, Волгограда.
Основной целью проекта является экообразование и экопросвещение молодежи в онлайн и оффлайн форматах, формирование понимания экологических проблем. А также воспитание нового поколения эколидеров России.
Во время экспедиций школьники познакомятся с особенностями работы сотрудников заповедников, примут участие в экоакциях, посетят промышленные предприятия РУСАЛа, где им расскажут о программах по снижению влияния заводов на экологию городов. Поднимутся на Красноярские Столбы или узнают о жизни обитателей акватории первого морского заповедника России, образованного на побережье Белого моря. А также познакомятся с достопримечательностями Красноярска, Дивногорска и Кандалакши и примут участие в экорадиошколе издания ""Комсомольская правда"", в рамках которой школьники смогут получить первые навыки работы в экожурналистике.
Экологические туры состоятся в августе. А в апреле пройдет отборочный тур. Желающие поучаствовать в конкурсном отборе и выиграть путевки в одну из экспедиций РУСАЛа получат доступ к видеолекциям о работе национального парка ""Красноярские Столбы"" и Кандалакшского государственного природного заповедника. Это позволит получить новую информацию и выполнить конкурсные задания. Школьники, набравшие, наибольшее количество баллов, в августе отправятся в экспедиции ""Экопоколения"". Приглашение принять участие в отборочном туре будет разослано в школы и городские отделы образования.
Впервые проект РУСАЛа ""Экопоколение"" стартовал в 2022 году. Тогда же он был отмечен двумя наградами Национальной экологической премии медиагруппы ""Комсомольская правда"" в номинации ""Экорегион"": занял 2-е место у экспертов медиагруппы и 3-е место - по результатам народного голосования. 
Похожие сообщения (3):
Байкал Информ (baikalinform.ru), Иркутск, 15 марта 2024, Стать участниками проекта ""ЭкоПоколение"" от РУСАЛа смогут братские школьники
Экология в России и мире (ecology.russia24.pro), Москва, 15 марта 2024, Стать участниками проекта ""ЭкоПоколение"" от РУСАЛа смогут братские школьники
Авто-радио г. Красноярск (1028.fm), Красноярск, 15 марта 2024, РУСАЛ приступил к подготовке нового сезона проекта для школьников ""ЭкоПоколение""
"
Прибыль Русала рухнула в 23г более чем в 6 раз после падения цен на алюминий,15 марта 2024,-100,"The Moscow Times (moscowtimes.ru), Москва, 15 марта 2024",Прибыль Русала рухнула в 23г более чем в 6 раз после падения цен на алюминий,"Автор: Reuters
*Данный материал был произведен в России, где законодательство ограничивает освещение специальной военной операции РФ в Украине
МОСКВА, 15 мар (Рейтер) - Российский алюминиевый гигант Русал сообщил о падении чистой прибыли более чем в шесть раз в 2023 году из-за снижения цен несмотря на рост продаж после переориентации в Азию.
Русал, крупнейший производитель алюминия в мире вне Китая, не попал под прямые санкции Запада, введенные в ответ на начало Москвой в феврале 2022 года ""спецоперации"" в Украине. Но компания предупреждала о проблемах с транспортировкой, поиском новых рынков и перебоями с поставками сырья - глинозема и бокситов - после запрета их экспорта Австралией в Россию и остановки глиноземного завода Русала в Украине.
Несмотря на отсутствие западных санкций в отношении Русала или российского алюминия, некоторые западные потребители избегают новых сделок с металлом российского производства после действий Москвы на Украине.
Компания сообщила, что ее продажи в 2023 году выросли на 6,6% до 4,153 миллиона тонн на фоне реализации избыточных запасов, накопленных на конец 2022 года, при росте производства на 0,3% до 3,85 миллиона тонн.
Увеличение физических продаж обеспечила переориентация на азиатские рынки, сообщил Русал в отдельном комментарии.
Продажи компании в Китай выросли более чем в 2,5 раза до $2,86 миллиарда, а его доля в выручке увеличилась до 23,4% с 8% в 2022 году, следует из отчета.
В целом продажи в Азию выросли до $4,7 миллиарда с $3,76 миллиарда, а их доля в структуре продаж поднялась до 38,4% в 2023 году с 27% в 2022 году.
Реализация металла на европейском рынке снизилась до $3,4 миллиарда c почти $5 миллиардов, доля Европы в структуре продаж сократилась до 27,8% с 35,7% годом ранее.
Доля внутреннего рынка, включая страны СНГ, также увеличилась и достигла 31,9%.
Однако общий рост продаж был нивелирован падением цен на металл на Лондонской бирже в среднем на 16,8% в прошлом году до $2.252 за тонну, и снижением средних цен реализации на 18% до $2.439 за тонну, говорится в сообщении Русала.
""В 2023 году спрос на алюминий оставался под давлением глобальной экономической неопределенности. Одновременно с этим негативное влияние на результаты компании оказали геополитическая напряженность, включая беспрецедентный режим внешних ограничений и перебои в цепочках поставок, а также значительное падение цен на металл"", - сообщил Русал в пресс-релизе.
Выручка Русала в результате снизилась на 12,6% до $12,2 миллиарда, cкорректированная EBITDA сократилась на 61,2% до $786 миллионов. Чистая прибыль упала на 84,3% до $282 миллионов.
Потеря Николаевского завода и запрет экспорта глинозема и бокситов из Австралии повлияли на доступность или закупочные цены, а трудности логистики привели к пересмотру цепочек поставок и продаж и увеличению транспортных издержек, говорится в отчете.
Чтобы компенсировать выпадающие объема глинозема Русал увеличил покупку сырья в Китае, Индии, Казахстане, а также приобрел в октябре 2023 года 30% китайского производителя. Компания планирует строительство нового глиноземного завода в Ленинградской области.
В целом себестоимость Русал в 2023 году снизилась на 3,0%, до $10,445 миллиарда, но затраты на приобретение глинозема увеличились на 9,9% до $2,029 миллиарда в основном за счет увеличения объема закупок при снижении цены.
""Компания продолжила концентрироваться на обеспечении сырьевой независимости, перенастройке каналов экспортных продаж и развитии внутреннего рынка, а также на реализации инвестиционной программы"", - сообщил Русал. (Анастасия Лырчикова. Редактировала Оксана Кобзева)
 Reuters 
Reuters
Похожие сообщения (4):
УкрРудПром (ukrrudprom.ua), Киев, 15 марта 2024, Прибыль крупнейшего производителя алюминия в России рухнула в 6 раз
УкрРудПром (ukrrudprom.com), Киев, 15 марта 2024, Прибыль крупнейшего производителя алюминия в России рухнула в 6 раз
Наш Курск (nashkursk.com), Курск, 15 марта 2024, Прибыль Русала рухнула в 23г более чем в 6 раз после падения цен на алюминий
Financial One (fomag.ru), Москва, 15 марта 2024, Прибыль Русала рухнула в 23г более чем в 6 раз после падения цен на алюминий
"
Краткий обзор по рынку акций на 15.03.2024,15 марта 2024,1,"Bidkogan.com, Москва, 15 марта 2024",Краткий обзор по рынку акций на 15.03.2024,"Обзор рынка акций на 15 марта 2024 года 
 Русал поделился очень слабыми результатами.
Индекс Мосбиржи: -0,1%
 Индекс РТС: -0,1%
Тинькофф-банк и Росбанк готовятся к объединению на холдинговой основе. Возможна полная консолидация в будущем. 
Ozon вводит сервисный сбор для партнеров-владельцев пунктов выдачи. 
Винлаб драйвит Novabev: ритейлер принес компании 46% выручки - необычно высокий результат для производителя спиртного.
Русал: слабый отчет. Скорректированная выручка за 2023 год снизилась на 90% до $73 млн. Скорректированная EBITDA -61,2%.
Polymetal в 2023 году увелчил показатель EBITDA на 43% до $1,5 млрд. СД компании считает нецелесообразной выплату дивидендов за 2023.
Краткий обзор по рынку акций на 15.03.2024
"
О женщинах РУСАЛ Бокситогорск к 8 марта,15 марта 2024,2,"Тихвин on-line (tikhvin.spb.ru), Тихвин, 15 марта 2024",О женщинах РУСАЛ Бокситогорск к 8 марта,"Бокситогорск
Знакомьтесь, Наталья Маркеева - машинист паровых турбин теплоэлектроцентрали. 
Наталья еще в школе поняла, что хочет работать руками. Училась в Бокситогорском профессиональном училище на аппаратчика гидрометаллурга. После обучения пришла на завод. Вот уже 15 лет Наталья Юрьевна трудится на БГЗ. За время работы освоила несколько смежных специальностей.
- Без мужчин никуда. Они нас берегут, заботятся. Все, что касается работы, требующей физической силы, берут на себя. И мыслят они по-другому в непредвиденных ситуациях, - рассказывает заводчанка о мужском коллективе.
Работая на производстве, всегда следует быть готовым к экстренной ситуации, поскольку даже самые рутинные задачи могут неожиданно стать опасными. Но сплоченность и поддержка коллег помогают решать любые проблемы.
- Я только пришла на турбину, и в тот день вдруг погас везде свет - аварийная ситуация на подстанции. И если бы была одна, то не знала бы что и делать. Хорошо, что есть и старшие товарищи, и коллектив у нас дружный. Быстро сориентировались и устранили неисправность, - делится Наталья о том, как важная дружная и сплоченная команда.
Несмотря на сложную работу, Наталья остается любящей многодетной мамой и заботливой женой. Семья поддерживает ее в любых ситуациях.
Дарья Потапова Новый путь 
"
"Выбор, от которого зависит наше завтра",15 марта 2024,17,"Магнитогорский металл (magmetall.ru), Магнитогорск, 15 марта 2024","Выбор, от которого зависит наше завтра","Автор: Балабанова Ольга
Председатель совета директоров ПАО ""ММК"" Виктор Рашников принял участие в выборах Президента РФ. 
На избирательные участки, расположенные в здании школы № 67, а их здесь четыре, с самого открытия первого дня голосования устремился народ. Пожилые и молодые, семьями, многие с детьми. Елена и Виктор пришли вместе с сыном и дочкой - одному шесть, другой одиннадцать. Супруги считают, что с детства дети должны видеть такие важные моменты, вырабатывать свою гражданскую позицию. А детворе просто интересно, к тому же юным ""помощникам"" родителей на участке предусмотрены небольшие презенты - шарики цвета российского триколора и шоколадка. 
Среди проголосовавших с утра в первый из трех дней выборов - председатель совета директоров ПАО ""ММК"" Виктор Рашников. Быстро, решительно зарегистрировался и поставил галочку в бюллетень для голосования. 
- Все выборы, какие бы ни проходили, важны для жизни страны, города, комбината, - отметил Виктор Филиппович. - За последние десятилетия ММК и город, невзирая на сложности - экономические кризисы, пандемию - развивались и жили достаточно хорошо. Немало глобальных проектов выполнили и продолжаем реализовывать на комбинате: они совершенствуют производство и улучшают экологию. Но и город развивается, жители это видят. А парк Притяжение - наша особая гордость, в этом году он ""прирастет"" третьей очередью - запустим уникальный фонтан. Уже строим крытый парк аттракционов, проектируем термы, медицинский центр, отель и хоккейную школу. Это серьезный ""набор"" улучшений, социальных дел, которые стали возможны именно в России последних десятилетий. Поэтому так важно обязательно принять участие в голосовании, выразить свою позицию, чтобы и в будущем город процветал, становился комфортней. 
На этом же избирательном участке голосует заместитель генерального директора ПАО ""ММК"" по продажам, депутат МСГД Сергей Ушаков. И тоже - не откладывая свой гражданский долг на второй или третий день. 
- Напомню, что еще по старой советской традиции выборы - это праздник, - напомнил Сергей Николаевич. - Поэтому поздравляю всех и приглашаю на избирательные участки, чтобы внести свой вклад в главный выбор страны. 
Поделитесь с друзьями новостью в социальных сетях 
Выбор, от которого зависит наше завтра | Фотография 2
Выбор, от которого зависит наше завтра | Фотография 1
Выбор, от которого зависит наше завтра | Фотография 6
Выбор, от которого зависит наше завтра | Фотография 4
Выбор, от которого зависит наше завтра | Фотография 9
Выбор, от которого зависит наше завтра | Фотография 3
Выбор, от которого зависит наше завтра | Фотография 5
Выбор, от которого зависит наше завтра | Фотография 7
Выбор, от которого зависит наше завтра | Фотография 13
Выбор, от которого зависит наше завтра | Фотография 11
Выбор, от которого зависит наше завтра | Фотография 10
Выбор, от которого зависит наше завтра | Фотография 8
Выбор, от которого зависит наше завтра | Фотография 12
Похожие сообщения (3):
БезФормата Челябинск (chelyabinsk.bezformata.com), Челябинск, 15 марта 2024, Выбор, от которого зависит наше завтра
Общественно-политический центр Магнитогорска (magopc.ru), Магнитогорск, 15 марта 2024, Выбор, от которого зависит наше завтра
БезФормата Челябинск (chelyabinsk.bezformata.com), Челябинск, 15 марта 2024, Выбор, от которого зависит наше завтра
"
"В Белгороде прошло предварительное заседание по иску ""Русагро"" к Владимиру Зотову",15 марта 2024,-19,"Fonar.tv, Белгород, 15 марта 2024","В Белгороде прошло предварительное заседание по иску ""Русагро"" к Владимиру Зотову","Автор: Дискейн Елена
В суде выяснились подробности требований истца. Представители компании ""Русагро"" потребовали перевести на себя права получателя доли Зотова в ""Агро-Белогорье"", однако по закону внесение доли в имущество ""Русского металла"" не является продажей, значит и претендовать на нее нельзя. 
Предварительное заседание по иску, поданному ""Русагро"" к Владимиру Зотову и компании ""Русский металл"", прошло 14 марта в Арбитражном суде Белгородской области. Редакции ""Фонаря"" стали известны его подробности. В своем заявлении представители ""Русагро"" требовали перевести на себя права и обязанности получателя 25 процентов доли Зотова в ГК ""Агро-Белогорье"" по договору об их отчуждении. 
На заседании сторона Зотова подчеркнула, что ""Русагро"" не имеет права претендовать на долю, которую он внес в имущество АО ""Русский металл"", так как внесение части своей доли ""Агро-Белогорья"" в имущество ""Русского металла"" продиктовано желанием собственника оптимизировать хозяйственные процессы и не является продажей доли. Более того, как заявляют представители ""Агро-Белогорья"", сейчас Владимир Зотов является стопроцентным акционером компании ""Русский металл"". 
На предварительном заседании истец потребовал привлечь к рассмотрению дела как третьих лиц также ООО ""Агро-Белогорье"" и Ларису Ковалеву - обладательницу пяти процентов акций холдинга. Основное заседание назначено на 17 апреля 2024 года. 
Напомним, что Владимир Зотов стал акционером АО ""Русский металл"" в ноябре 2023 года, а в декабре того же года внес часть своей доли в ""Агро-Белогорье"" в имущество АО ""Русский металл"". Приобретение акций компании связано с развитием производственных и социальных проектов в агропромышленном комплексе и социальной сфере Белгородской области. Ранее мы подробно рассказывали, как развивался конфликт между собственниками группы компаний ""Агро-Белогорье"": представителя ""Русагро"" и Владимиром Зотовым и Ларисой Ковалевой. 
Похожие сообщения (1):
БезФормата Белгород (belgorod.bezformata.com), Белгород, 15 марта 2024, В Белгороде прошло предварительное заседание по иску ""Русагро"" к Владимиру Зотову
"
