header,data,visibility,metainfo,main_part,text
"""Магнит"" добавил свой маркетплейс в основное приложение",23 мая 2024,52,"RusBase (rb.ru), Москва, 23 мая 2024","""Магнит"" добавил свой маркетплейс в основное приложение","Автор: Гормалева Наталья
Маркетплейс ""Магнит Маркет"" стал доступен в мобильном приложении ""Магнита"", говорится в сообщении ритейлера. Сейчас сервис доступен только части пользователей приложения, до конца месяца возможность совершать покупки в ""Магнит Маркете"" появится у всех.
""Магнит"" добавил свой маркетплейс в основное приложение
""Магнит"" закрыл сделку по приобретению KazanExpress в ноябре 2023 года. В феврале 2024 года компания начала регистрировать продавцов на площадке. Тогда же маркетплейс возглавил экс-директор по данным ""Яндекс Лавки"" Константин Измайлов.
Уже в июне ритейлер добавит возможность истратить баллы лояльности ""Магнита"" в своем маркетплейсе. При этом необязательно использовать основное приложение компании. У клиентов также есть возможность ограничиться приложением ""Магнит Маркет"".
В апреле ""Магнит"" представил основную концепцию и визуальное оформление, под которыми будет работать маркетплейс компании.
А с конца марта в столице открыты первые пункты выдачи ""Магнит Маркета"".
Фото на обложке: ""Магнит"" 
Похожие сообщения (2):
Retailer.ru, Санкт-Петербург, 23 мая 2024, ""Магнит"" добавил маркетплейс ""Магнит Маркет"" в свое мобильное приложение
AFnews (afnews.ru), Москва, 23 мая 2024, ""Магнит"" добавил свой маркетплейс в основное приложение
"
На ЧерМК отремонтировали конвертерное оборудование,23 мая 2024,4,"Портал для недропользователей (dprom.online), Красноярск, 23 мая 2024",На ЧерМК отремонтировали конвертерное оборудование,"На промплощадке Череповецкого меткомбината (входит в состав ПАО ""Северсталь"") закончили капремонт конвертера №2. Об этом рассказали на официальном сайте компании.
Специалисты выполнили ряд операций по замене узлов агрегата. В частности, были обновлены корпус и опорное кольцо конвертера. Предприятие сменило оборудование дожигания газов, корпуса нагнетателя и газохода котла-охладителя.
Вдобавок к этому в процессе обновления модифицировали конструктив газоотводящего тракта. За счет этого на ЧерМК должна снизиться концентрация пыли в отходящих газах.
Суммарные инвестиции в проект достигли порядка 1,4 млрд рублей. В сообщении горно-металлургического холдинга подчеркивается, что капремонт агрегата стал самой крупной инициативой за последние 10 лет.
Напомним, в дальнейшем на Череповецком металлургическом комбинате планируют капитально отремонтировать доменную печь №5. Также заменят огнеупорную футеровку, элементы охладительной системы, верхний купол и колошниковую защиту. Реализация потребует 37 млрд рублей инвестиций. 
"
Власти Нижневартовска прогнозируют превышение критического уровня подъема воды в Оби,23 мая 2024,240,"ИА Ura.ru, Екатеринбург, 23 мая 2024",Власти Нижневартовска прогнозируют превышение критического уровня подъема воды в Оби,"Автор: Неупокоев Евгений
В Нижневартовске несколько дачных кооперативов оказались в зоне подтопления 
Власти Нижневартовска начали предупреждать жителей дачных кооперативов о риске подтопления. Об этом URA.RU сообщили в администрации Нижневартовска.
""Скорректировали прогноз уровня воды в реке Оби, в границах города Нижневартовска. С апреля он был 800-890 сантиметров. На сегодняшний день проведена корректировка. Уровень воды поставлен 890-980. То есть от 800 до 1200 сантиметров повышение уровня воды произошло на территории бассейна Оби. Проводится оповещение жителей"", - сообщил Андрей Механошин, заместитель директора управления по делам ГО и ЧС Нижневартовска.
Власти города начали обход жителей по участкам. Речь идет о Старом Вартовске и районе Аэрофлота. ""Проходит по дворовой обход с предложением собрать с собой документы, необходимые вещи и подготовить своих животных. Передать их в пункт передержки, а самим, при наличии другого жилья выехать"", - добавил Механошин.
Ранее URA.RU сообщало, что власти Нижневартовска подготовили для жителей подтопленных территорий пункты временного размещения. Также на случай паводка городской ЖКХ готов предоставить спецтехнику. 
Карта уровня воды в реке Обь в районе Нижневартовска 
Подтопления ожидают в Старом Вартовске и районе Аэрофлота 
Похожие сообщения (1):
Gorodskoyportal.ru/ekaterinburg, Екатеринбург, 23 мая 2024, В Нижневартовске несколько дачных кооперативов оказались в зоне подтопления
"
"Акции ПОЛЮС PLZL взлетели на +0,87%",23 мая 2024,8,"Бизнес-журнал (business-magazine.online), Москва, 23 мая 2024","Акции ПОЛЮС PLZL взлетели на +0,87%","В ходе основной торговой сессии бумаги ПОЛЮС PLZL существенно дорожают. В моменте они прибавили в цене сразу +0,87%
ЛУКОЙЛ LKOH 7.802,5 (-0,22%)
 МАГНИТ MGNT 8.118,5 (+0,35%)
 НОВАТЭК NVTK 1.165,80 (-1,57%)
ПОЛЮС PLZL - крупнейший производитель золота в России, входит в топ-5 ведущих мировых золотодобывающих компаний. 
"
"Segezha Group представит в Омске проект ""Лес упаковочных решений"" в рамках программы ""PROКластеры""",23 мая 2024,"34,40","Московский Комсомолец (kostroma.mk.ru), Кострома, 23 мая 2024","Segezha Group представит в Омске проект ""Лес упаковочных решений"" в рамках программы ""PROКластеры""","27-28 мая генеральный директор АО ""Сокольский ЦБК"" Григорий Иванов в рамках межрегионального форума ""Кластерный диалог"" в Омске представит проект, разработанный в рамках методической программы Минпромторга России ""PROКластеры"". Проект с рабочим названием ""Лес упаковочных решений"" планируется реализовать при поддержке АНО ""Агентство стратегических инициатив"", Ассоциации кластеров, технопарков и Института экономики знаний.
Проект ""Лес упаковочных решений"" был разработан рабочей группой на Сокольском ЦБК при поддержке отделения Фонда развития промышленности в Вологодской области. Цель создания кластера - создание новых видов продукции, развитие импортозамещения и расширение объемов сбыта и доли присутствия на рынке участников кластера. Планируется участие в проекте предприятий Республики Карелия, Вологодской и Кировской областей, а также Пермского края. Заинтересованность подтвердили активы Segezha Group - ПАО ""Сокольский ЦБК"", АО ""Сокольский ДОК"", АО ""ЛПК ""Кипелово"", ООО ""Сегежская упаковка"", ООО ""Сегежа Цифровые Решения"", а также ООО ""БумХимИнвест"". Каждый участник промышленного кластера должен иметь не менее 1 договора о реализации проекта по производству импортозамещающей продукции кластера. Среди импортозамещающей продукции Сокольского ЦБК - жиростойкая небеленая бумага, подпергамент небеленый, мешочная бумага. 
""Проект по созданию промышленного кластера упаковочных решений российских предприятий имеет большое значение. Небеленая жиростойкая бумага производится в России только на Сокольском ЦБК и набирает популярность в мире за счет факторов экологичности и более низкой цены по сравнению с беленой. Мы рассматриваем возможность производства ламинированной бумаги, которая может применяться не только для пакетов под сыпучие пищевые продукты и специи, продукты, содержащие жиры, но и для упаковки товаров медицинского назначения, в частности, лекарственных средств"", - отмечает генеральный директор Сокольского ЦБК Григорий Иванов. Специализированной организацией промышленного кластера ""Лес упаковочных решений"" выступит АУ ВО ""Фонд развития промышленности"". Ожидается, что по итогам защиты решение о включении кластера в реестр может быть принято в Минпромторге РФ до конца 2024 года. По данным на апрель 2024 года в реестре Минпромторга России учтены 63 промышленных кластера из 50 субъектов РФ. 
Segezha Group представит в Омске проект ""Лес упаковочных решений"" в рамках программы ""PROКластеры""
Похожие сообщения (3):
I44.ru (i44.ru), Кострома, 23 мая 2024, Segezha Group представит в Омске проект ""Лес упаковочных решений"" в рамках программы ""PROКластеры""
Пресс-релизы Ведомости Санкт-Петербург (spb.vedomosti.ru), Санкт-Петербург, 23 мая 2024, Segezha Group представит в Омске проект ""Лес упаковочных решений"" в рамках программы ""PROКластеры""
Пресс-релизы Akm.ru, Москва, 23 мая 2024, Segezha Group представит в Омске проект ""Лес упаковочных решений"" в рамках программы ""PROКластеры""
"
"СД ""Норникеля"" рекомендовал отказаться от итоговых дивидендов из-за санкций",23 мая 2024,148,"Коммерсантъ. Новости информ. центра, Москва, 23 мая 2024","СД ""Норникеля"" рекомендовал отказаться от итоговых дивидендов из-за санкций","Совет директоров российской горно-металлургической компании ""Норникель"" (MOEX: GMKN) рекомендовал не платить финальные дивиденды за 2023 год. Рекомендация обусловлена ухудшением финансовых результатов из-за санкций. Собрание акционеров пройдет 28 июня.
Промежуточные дивиденды ""Норникеля"" за девять месяцев превысили оставшийся для выплаты дивидендов скорректированный свободный денежный поток за 2023 год в размере $1,3 млрд. Выручка снизилась на 15% по сравнению с годом ранее, до $14,4 млрд, EBITDA -  на 21% (до $6,9 млрд). Свободный денежный поток составил $2,7 млрд. 
При этом в январе компания выплатила дивиденды за девять месяцев в размере 915,33 руб. на одну акцию, или 140 млрд руб. (более $1,5 млрд). ""Выплата дивидендов за счет наращивания уровня долга считается нецелесообразной"", -  сообщила компания. После этого сообщения котировки ""Норникеля"" на Мосбирже перешли к снижению к 10:44 мск и снижаются на 0,95%.
""Норникель"" впервые за 14 лет не выплатил дивиденды за 2022 год на фоне санкций. Но в 2023 году он возобновил выплату промежуточных выплат.
Как котировки на металл обновляют месячные максимумы -  в материале ""Никель подрос на беспорядках"".
https://im.kommersant.ru/Issues.photo/NEWS/2024/05/23/KMO_198919_00135_1_t208_123235.jpg
Похожие сообщения (2):
Poisk-music.ru, Москва, 23 мая 2024, СД ""Норникеля"" рекомендовал отказаться от итоговых дивидендов из-за санкций
RSS+ (rss.plus), Москва, 23 мая 2024, СД ""Норникеля"" рекомендовал отказаться от итоговых дивидендов из-за санкций
"
Роботы в деле,23 мая 2024,30,"Магнитогорский металл (magmetall.ru), Магнитогорск, 23 мая 2024",Роботы в деле,"ПАО ""ММК"" ставят в пример, как предприятие, активно внедряющее в производство промышленных роботов. 
Информационный портал ""Русская весна"" (16+) сообщил, что к концу 2023 года на предприятиях страны установлено около 11 тысяч роботов, а в 2024 году этот показатель вырастет до 14,4 тысячи. 
Заместитель директора департамента станкостроения и тяжелого машиностроения Министерства промышленности и торговли РФ Александр Львов подчеркнул, что в настоящий момент продолжается разработка эффективной политики по стимулированию развития отрасли. Производители электронных помощников смогут воспользоваться налоговой льготой в виде нулевой ставки налога на прибыль, а также сниженной ставкой страховых взносов в размере 7,6 процента. При этом важно, что и сам бизнес заинтересован в роботизации производства. - Роботизация позволяет не только повысить эффективность производства и разгрузить работников от выполнения монотонных, рутинных задач, но и уже в среднесрочной перспективе окупить инвестиции и выйти в плюс, - уверен депутата Государственной Думы РФ Антон Немкин. - Например, на Магнитогорском металлургическом комбинате эффект от внедрения промышленных роботов только в 2023 году составил 228 миллионов рублей. 
На самом деле, по данным накопленный экономический эффект больше - около 377 миллионов рублей. То, что ММК приводят в пример, не случайно. На предприятии работают более 280 программных роботов по 40 направлениям. ИТ-специалисты реализовали крупные проекты практически во всех отделах - закупки, логистика, экономика и финансы, налоги, учетная служба. Сегодня роботизация на ММК включает не только отдельные бизнес-задачи, но и комплексные решения. Трудовые ресурсы больше не тратятся на ручное формирование отчетов и рапортов, сравнение данных в различных учетных системах, поиск актуальных документов на федеральных порталах, проверку статусов грузов, подготовку распоряжений, соглашений и справок, оформление временных переводов и многие другие операции. Все это делают программные роботы. 
Поделитесь с друзьями новостью в социальных сетях 
Роботы в деле | Фотография 1
"
"Российские металлурги нарастили производство, несмотря на падение экспорта",23 мая 2024,240,"ИА Ura.ru, Екатеринбург, 23 мая 2024","Российские металлурги нарастили производство, несмотря на падение экспорта","Автор: Горновский Алексей
Российские металлурги нарастили объемы производства по итогам 2023 года, несмотря на сокращение экспорта. Их продукция осталась востребованной благодаря подъему внутреннего потребления - рост составил около 12,7%. Об этом заявил руководитель группы по работе с предприятиями трубной промышленности ""Магнитогорского металлургического комбината"" (ММК) Александр Кадошников на всероссийской конференции ""Стальные трубы: производство и региональный сбыт"".
""В 2024 году ММК ожидает сохранения общей положительной тенденции. ММК производит более 17% от всего металлопроката, поставляемого на российский рынок, и занимает лидирующие позиции на российском рынке премиальной металлопродукции и, в частности, в поставках стали для автомобильной промышленности"", - отмечают в пресс-службе предприятия.
Особенно резкий подъем спроса изделий из металла наблюдается в трубной отрасли. Она обеспечивает треть всех поставок комбината на российский рынок и с 21 года рост закупок в ней составил 30%.
При этом аналитики ММК считают, что в этой области сохраняется потенциал для дальнейшего роста. Для поддержания спроса в трубной отрасли специалисты предприятия освоили в 2023 году выпуск новых видов проката: с повышенной холодостойкостью, прочностью и ударной вязкостью, в коррозионностойком исполнении и с уменьшенным уровнем легирования. 
Внутренний рынок компенсировал падение экспорта для отечественной металлургии 
Похожие сообщения (2):
Лента новостей Магнитогорска (magnit-news.ru), Магнитогорск, 23 мая 2024, Российские металлурги нарастили производство, несмотря на падение экспорта
Новости Челябинска (chelyabinsk-news.net), Челябинск, 23 мая 2024, Российские металлурги нарастили производство, несмотря на падение экспорта
"
ПСБ подтверждает прогнозную цену акций Самолета на уровне 5300 руб,23 мая 2024,2,"Тинькофф Банк. Новости партнеров (tinkoff.ru), Москва, 23 мая 2024",ПСБ подтверждает прогнозную цену акций Самолета на уровне 5300 руб,"Промсвязьбанк (ПСБ) подтверждает прогнозную стоимость акций ГК ""Самолет"" на уровне 5300 рублей за штуку на горизонте года, сообщается в материале аналитиков.""Самолет Плюс"" (сервис квартирных решений, мажоритарным акционером которого является ""Самолет"", работает с 2022 года и служит дополнительным каналом продаж для девелопера) представил операционные результаты за первый квартал 2024 года. Платформа активно масштабируется, при этом она включает в себя три блока: операции с жилой и коммерческой недвижимостью и сопутствующие услуги (ипотека, оценка, страхование), сервисы на этапе ожидания новой квартиры, различные виды услуг. Считаем такое направление бизнеса конкурентным преимуществом для ""Самолета"" за счет повышения узнаваемости бренда и наличия дополнительного механизма привлечения покупателей"", - указывают эксперты.Настоящее сообщение содержит мнение специалистов инвестиционной компании или банка, полученное Интерфаксом. Такое мнение предоставляется исключительно для целей ознакомления и не является рекомендацией для покупки, продажи ценных бумаг, принятия (или непринятия) каких-либо коммерческих или иных решений. За содержание сообщения и последствия его использования Интерфакс ответственности не несет. 
"
Норникель не планирует выплачивать дивиденды за 2023 год,23 мая 2024,"96,40","ИА AK&M, Москва, 23 мая 2024",Норникель не планирует выплачивать дивиденды за 2023 год,"Совет директоров Норникеля рекомендует акционерам отказаться от выплаты финальных дивидендов за 2023 год. Об этом говорится в сообщении компании. 
Такие рекомендации даны по ряду причин. Так, в 2023 году санкционные ограничения и геополитические вызовы оказали существенное давление на финансовые показатели Норникеля. Выручка снизилась на 15% по сравнению с предыдущим годом и составила $14.4 млрд, показатель EBITDA - на 21% до $6.9 млрд. Свободный денежный поток составил $2.7 млрд, а с учетом уплаченных процентов, обязательств по аренде, а также дивидендов, выплаченных держателям неконтролирующих долей, скорректированный свободный денежный поток за 2023 год составил $1.3 млрд. 
На выплату промежуточных дивидендов за 9 месяцев 2023 года компания уже направила $1.5 млрд. 
Выплата дивидендов за 2023 год за счет наращивания уровня долга считается нецелесообразной. Действующая дивидендная политика Норникеля предписывает при определении размера дивидендов учитывать циклический характер рынка металлов, а также необходимость сохранения высокого уровня кредитоспособности компании. На основании этого менеджмент предложил прибыль компании за 2023 год не распределять, дивиденды не выплачивать. 
Также совет директоров утвердил дату проведения собрания акционеров - 28 июня 2024 года. Дата определения лиц, имеющих право на участие в собрании, установлена на 4 июня 2024 года. 
Напомним, акционеры ПАО ГМК ""Норильский никель"" на годовом собрании приняли решение не выплачивать дивиденды за 2022 год. 
ГМК ""Норильский никель"" - диверсифицированная горнодобывающая и металлургическая компания, которая является крупнейшим в мире производителем палладия и высококачественного никеля, а также платины, меди, кобальта, серебра, золота, иридия. Производственные подразделения ГМК ""Норильский никель"" расположены в Норильском промышленном районе, на Кольском полуострове и в Забайкальском крае в России, а также в Финляндии. Акции компании котируются на Московской и Санкт-Петербургской фондовых биржах. 
Похожие сообщения (19):
Заполярная правда (gazetazp.ru), Норильск, 24 мая 2024, Акционерам ""Норникеля"" рекомендовано отказаться от выплаты финальных дивидендов за 2023 год
MetallPlace.ru (metallplace.ru), Москва, 23 мая 2024, Норникель советует не выплачивать дивиденды за 2023 год из-за финансовых трудностей
Ruslom.ru, Москва, 23 мая 2024, Руководство Норникеля рекомендует акционерам отказаться от дивидендов
БезФормата Красноярск (krasnoyarsk.bezformata.com), Красноярск, 23 мая 2024, Совет директоров ""Норникеля"" поддержал предложение менеджмента не выплачивать дивиденды по результатам 2023 года
Металлургический бюллетень (metalbulletin.ru), Долгопрудный, 23 мая 2024, Руководство Норникеля рекомендует акционерам отказаться от дивидендов
RSS+ (rss.plus), Москва, 23 мая 2024, Совет директоров ""Норникеля"" поддержал предложение менеджмента не выплачивать дивиденды по результатам 2023 года
Russian.city, Москва, 23 мая 2024, Совет директоров ""Норникеля"" поддержал предложение менеджмента не выплачивать дивиденды по результатам 2023 года
Russia24.pro, Москва, 23 мая 2024, Совет директоров ""Норникеля"" поддержал предложение менеджмента не выплачивать дивиденды по результатам 2023 года
News-Life (news-life.pro), Москва, 23 мая 2024, Совет директоров ""Норникеля"" поддержал предложение менеджмента не выплачивать дивиденды по результатам 2023 года
Бизнес Онлайн (bizon.ru), Долгопрудный, 23 мая 2024, Руководство Норникеля рекомендует акционерам отказаться от дивидендов
Metaltorg.ru, Долгопрудный, 23 мая 2024, Руководство Норникеля рекомендует акционерам отказаться от дивидендов
НИА Федерация, Москва, 23 мая 2024, Совет директоров ""Норникеля"" рекомендует акционерам отказаться от выплаты финальных дивидендов за 2023 год
БезФормата Абакан (abakan.bezformata.com), Абакан, 23 мая 2024, ""Норникель"" может не выплатить итоговые дивиденды за 2023 год
Финансовые новости на The rtf.ru (trtf.ru), Москва, 23 мая 2024, Совет директоров ""Норникеля"" рекомендует отказаться от дивидендов
Пульс Хакасии (pulse19.ru), Абакан, 23 мая 2024, ""Норникель"" может не выплатить итоговые дивиденды за 2023 год
Норникель (nornickel.ru), Москва, 23 мая 2024, Совет директоров ""Норникеля"" рекомендует акционерам отказаться от выплаты финальных дивидендов за 2023 год
Пресс-релизы Vedomosti.ru, Москва, 23 мая 2024, Совет директоров ""Норникеля"" рекомендует акционерам отказаться от выплаты финальных дивидендов за 2023 год
НИА Красноярск, Красноярск, 23 мая 2024, Совет директоров ""Норникеля"" поддержал предложение менеджмента не выплачивать дивиденды по результатам 2023 года
Пресс-релизы Akm.ru, Москва, 23 мая 2024, Совет директоров ""Норникеля"" рекомендует акционерам отказаться от выплаты финальных дивидендов за 2023 год
"
"РусГидро и ГК ""Солар"" подписали соглашение о стратегическом и технологическом партнерстве",23 мая 2024,46,"ИА AK&M, Москва, 23 мая 2024","РусГидро и ГК ""Солар"" подписали соглашение о стратегическом и технологическом партнерстве","ПАО ""РусГидро"" и ГК ""Солар"" подписали соглашение о стратегическом и технологическом партнерстве, развивающее их сотрудничество. Его цель - повышение уровня цифровизации и импортонезависимости энергетической компании в области информационной безопасности. Об этом говорится в сообщении ГК ""Солар"". 
Соглашением предусмотрено взаимодействие в области информационной безопасности: совместная работа лабораторий, научные исследования и развитие компетенций сотрудников. 
Стороны планируют внедрение, развитие и адаптацию отечественных ИБ‑решений в соответствии с передовыми достижениями индустрии, совместную разработку и сертификационное обучение специалистов по экосистеме продуктов ""Солара"". 
Ключевые направления деятельности ГК ""Солар"" - аутсорсинг ИБ, разработка собственных продуктов, обучение ИБ-специалистов, аналитика и исследование киберинцидентов. Подразделения ""Солара"" расположены в Москве, Санкт-Петербурге, Нижнем Новгороде, Самаре, Ростове-на-Дону, Томске, Хабаровске и Ижевске. 
ПАО ""Федеральная гидрогенерирующая компания - РусГидро"" (ИНН 2460066195) объединяет объекты возобновляемой энергетики в России и за рубежом, тепловые электростанции и электросетевые активы на Дальнем Востоке, а также энергосбытовые компании и научно-проектные институты. 
Чистая прибыль РусГидро по МСФО за 2023 год выросла на 66% и составила 32.1 млрд руб. по сравнению с годом ранее. Общая выручка увеличилась на 21.5% до 569.3 млрд руб., показатель EBITDA - на 43.5% до 131.5 млрд руб. 
"
"""Аэрофлот"" запускает прямые рейсы между Петербургом и Владивостоком",23 мая 2024,226,"78.ru, Санкт-Петербург, 23 мая 2024","""Аэрофлот"" запускает прямые рейсы между Петербургом и Владивостоком","Автор: Макаров Андрей
Полеты будут выполняться в пиковый период летнего сезона, начиная с середины июня.
 Компания ""Аэрофлот"" заявила об открытии продажи билетов на прямые рейсы между Петербургом и Владивостоком.
Как говорится в сообщении, полеты будут выполняться в пиковый период летнего сезона, начиная с 16 июня, на широкофюзеляжных лайнерах Boeing 777 в трехклассной компоновке: Эконом, Комфорт, Бизнес.
 - В летнем расписании авиакомпания запланировала три рейса в неделю по маршруту Петербург - Владивосток - Петербург по средам, пятницам и воскресеньям. На маршруте будут доступны субсидируемые государством тарифы для жителей ДФО и льготных категорий граждан, - отметили в ""Аэрофлоте"". 
С расписанием можно ознакомиться на сайте авиакомпании, а забронировать и купить билеты как на сайте, так и в мобильном приложении ""Аэрофлота"".
Ранее 78.ru писал о том, что в 1 июня ""Аэрофлот"" увеличивает количество рейсов между Петербургом и Москвой до 72 рейсов в сутки в рамках программы ""Шаттл"".
"
"""Аэрофлот"" начнет летать из Красноярска на Хайнань с 29 июня",23 мая 2024,2,"Лента новостей Красноярска (krasnoyarsk-news.net), Красноярск, 23 мая 2024","""Аэрофлот"" начнет летать из Красноярска на Хайнань с 29 июня","""Аэрофлот"" открывает продажу билетов на прямые регулярные рейсы из Красноярска в Санья (остров Хайнань, КНР). Первый рейс запланирован на 29 июня. В действующем расписании запланировано три еженедельных рейса из Красноярска, сообщает пресс-служба авиаперевозчика.
Полеты на популярный курорт Южного Китая будут выполняться авиакомпанией ""Россия"".
Напомним, во время визита в Китай о возможности открытия прямых рейсов сообщал губернатор Красноярского края Михаил Котюков.
Источник: https://www.press-line.ru/
""Аэрофлот"" начнет летать из Красноярска на Хайнань с 29 июня
"
"Экскурсия на ПАО ""Магнитогорский металлургический комбинат""!",23 мая 2024,2,"ГБУ РЦТ (gto95.ru), Грозный, 23 мая 2024","Экскурсия на ПАО ""Магнитогорский металлургический комбинат""!","""ММК - стальное сердце России"" : так об одном из ведущих производителей стали в мире говорят металлурги и местные жители.
Экскурсия на крупнейший комбинат была включена в культурную программу фестиваля ГТО среди трудовых коллективов, чтобы показать участникам не только физкультурно-спортивную сторону мероприятия, но и познакомить их с историей и значимостью промышленности для региона.
Команды со всей страны увидели технологические инновации и полный металлургический цикл, начиная с подготовки железорудного сырья и заканчивая глубокой переработкой черных металлов.
Эта экскурсия стала не только образовательным мероприятием, но и связующим звеном между спортивным сообществом и миром промышленности.
Напомним, что именно сотрудники ПАО ""ММК"" стали чемпионами V фестиваля ГТО, который проходил в Ижевске.
"
Роснєфть просить Кремль компенсувати витрати на захист НПЗ від дронів,23 мая 2024,8,"Лiга.net (liga.net/ua), Киев, 23 мая 2024",Роснєфть просить Кремль компенсувати витрати на захист НПЗ від дронів,"Глава Роснєфті зажадав від уряду компенсувати витрати на захист НПЗ від українських безпілотників
НПЗ у Татарстані (Фото - відкриті джерела) 
Найбільша російська нафтова компанія ""Роснєфть"" звернулася до уряду з проханням компенсувати витрати на захист нафтових переробних заводів (НПЗ) від атак безпілотників. Про це йдеться в листі голови компанії Ігоря Сєчіна до прем'єр-міністра Михайла Мішустіна. З листом ознайомився російський ""Коммерсантъ"".
Долучайтесь до нас на Facebook та беріть участь в дискусіях
Сєчін підкреслив, що через зростання ""терористичних ризиків"" Роснєфть змушена впроваджувати широкий і витратний комплекс заходів фізичного захисту нафтових об'єктів від дронів. Він нагадав, що після ударів безпілотників раніше Роснєфть призупиняла роботу установок на Сизранському, Рязанському, Куйбишевському та Туапсинському НПЗ.
У зв'язку з цим Сєчін запропонував компенсувати компанії витрати на безпеку шляхом відрахувань з податку на видобуток корисних копалин (НДПІ) або податку на прибуток, а також шляхом збільшення зворотного акцизу на нафту.
Голова Роснєфті також вказав на проблеми з модернізацією НПЗ через санкції, які обмежили постачання обладнання та призвели до зростання витрат на логістику і будівельні роботи. Він запропонував уряду продовжити до 2033 року термін отримання інвестиційної надбавки до зворотного акцизу на нафту для НПЗ, що впроваджують нові установки глибокої переробки.
Крім того, Сєчін вважає за необхідне відмовитися від проміжної умови отримання інвестиційної надбавки, згідно з якою інвестиції в НПЗ у 2019-2024 роках повинні складати не менше як 30 млрд руб.
За останній рік найбільші енергетичні компанії Росії витратили щонайменше 1 млрд руб. на закупівлю засобів протидії безпілотникам, підрахували ""Важные истории"" на основі тендерів Роснєфті, Лукойлу, Башнєфті, Славнєфті та Транснєфті.
У ніч проти 17 травня сталася, ймовірно, найбільша дронова атака на Росію за весь час війни - понад 100 безпілотників. 
Наталія Софієнко
Роснєфть просить Кремль компенсувати витрати на захист НПЗ від дронів
Похожие сообщения (2):
BIN.ua, Киев, 23 мая 2024, Роснєфть просить Кремль компенсувати витрати на захист НПЗ від дронів
Uazmi.org, Киев, 23 мая 2024, Роснєфть просить Кремль компенсувати витрати на захист НПЗ від дронів.
"
